Name,URL,MRP,Brand,In_The_Box,Type,Model_Name,Capacity_in_Tons,Star_Rating,BEE_Rating_Year,Color,Cooling_and_Heating,Cooling_Capacity,Compressor,Dehumidification,Remote_Control,Refrigerant,Condenser_Coil,Indoor_W_x_H_x_D,Indoor_Unit_Weight,Outdoor_W_x_H_x_D,Outdoor_Unit_Weight,Indoor_Noise_Level,Indoor_Temperature_Indicator,Turbo_Mode,ISEER,Other_Performance_Features,Evaporator_in_Type,Condenser_Fin_Type,Stepped_Louvers,Auto_Air_Swing,Anti_bacteria_Filter,Dust_Filter,Active_Carbon_Filter,Deodorizing_Filter,Other_Filter_Features,Auto_Restart,Timer,Child_Lock,Quiet_Mode,Sleep_Mode,Memory_Feature,Self_Diagnosis,Emergency_Operational_Button,Power_Requirement,Power_Consumption,Night_Glow_Buttons_on_Remote,Battery_Type,Air_Circulation,Other_Remote_Control_Features,Operating_Modes,Technology_Used,Panel_Display,Cooling_Coverage_Area,Additional_Features,Operating_Current,Other_Body_and_Design_Features,Other_Convenience_Features,Other_Power_Features,LED_Backlit_Buttons,Other_Air_Flow_Features,Other_Dimensions
"Onida 1.5 Ton 3 Star Split Dual Inverter AC  - White  (IR183RHO, Copper Condenser)",https://www.flipkart.com/onida-1-5-ton-3-star-split-dual-inverter-ac-white/p/itm01d434f514748?pid=ACNFMDRP3TU6EFW2&lid=LSTACNFMDRP3TU6EFW2TAG21G&marketplace=FLIPKART&srno=b_1_1&otracker=browse&fm=organic&iid=9caa1db4-deba-4aec-84c7-43a3876d3293.ACNFMDRP3TU6EFW2.SEARCH&ssid=tfe0pmzr280000001585503399736,53490,Onida,"1 Indoor Unit, 1 Outdoor Unit, Remote, User Manual, Connecting Pipe, Wall Holder",Split,IR183RHO,1.5 Ton,3 Star BEE Rating,2020,White,Info Not Available,5200 W,Dual Rotary,Yes,Yes,R32,Copper,91 cm x 29.4 cm x 20.6 cm,9 kg,81.7 cm x 55.3 cm x 32.8 cm,27 kg,Info Not Available,Info Not Available,Yes,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Yes,No,Yes,No,No,Info Not Available,Yes,Info Not Available,Yes,Info Not Available,Yes,Info Not Available,Info Not Available,Info Not Available,"AC 220 - 240 V, 50 Hz",1820 W,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,LED,Info Not Available,"4 Way Cooling, Golden Hydrophilic Fins",Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available
"LG 1.5 Ton 5 Star Split Dual Inverter AC  - White  (KS-Q18ENZA, Copper Condenser)",https://www.flipkart.com/lg-1-5-ton-5-star-split-dual-inverter-ac-white/p/itmfffhdfkgkgjgs?pid=ACNFEBYG9M2GPJNC&lid=LSTACNFEBYG9M2GPJNCD2OLYH&marketplace=FLIPKART&srno=b_1_2&otracker=browse&fm=organic&iid=9caa1db4-deba-4aec-84c7-43a3876d3293.ACNFEBYG9M2GPJNC.SEARCH&ssid=tfe0pmzr280000001585503399736,53990,LG,1 Indoor UnitRemote Control2 AAA BatteriesUser ManualSet Installation Plates and ScrewsWiring1 Outdoor Unit,Split,KS-Q18ENZA,1.5 Ton,5 Star BEE Rating,2019,White,No,5100 W,Rotary,No,Yes,R32,Copper,99.8 cm x 33 cm x 21 cm,11 kg,87 cm x 65.5 cm x 32.2 cm,30 kg,"High - 30 dB, Low - 26 dB",Yes,No,4.73 W/W,Monsoon comfort ; Ez Clean Filter ; Stablizer Free Operation; Stablizer Free Operation (145~290V),Gold Fin,Gold Fin,Yes,Yes,Yes,Yes,No,No,3M Micro Protection Filter,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 220 - 240 V, 50 Hz",1440 W,Yes,2 AAA Batteries,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183 VCZJ (R 32), Copper Condenser)",https://www.flipkart.com/voltas-1-5-ton-3-star-split-inverter-ac-white/p/itme691717dd8f76?pid=ACNFHHUXNFGV6KRG&lid=LSTACNFHHUXNFGV6KRGRZMCIB&marketplace=FLIPKART&srno=b_1_3&otracker=browse&fm=organic&iid=9caa1db4-deba-4aec-84c7-43a3876d3293.ACNFHHUXNFGV6KRG.SEARCH&ssid=tfe0pmzr280000001585503399736,59190,Voltas,"1 Indoor Unit, 1 Outdoor Unit, Remote, Accessories",Split,183 VCZJ (R 32),1.5 Ton,3 Star BEE Rating,2019,White,No,5100 W,High EER Rotary,Yes,Yes,Info Not Available,Copper,920 mm x 390 mm x 124 mm,15 kg,635 mm x 654 mm x 524 mm,28 kg,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Yes,Yes,Info Not Available,Info Not Available,Info Not Available,No,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,AC 230 V,1590 W,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available
"Samsung 1.5 Ton 5 Star Split Triple Inverter Dura Series AC  - White  (AR18TV5HLTUNNA/AR18TV5HLTUXNA, Alloy Condenser)",https://www.flipkart.com/samsung-1-5-ton-5-star-split-triple-inverter-dura-series-ac-white/p/itm9db0e219a0c74?pid=ACNFZ54YHMWABNNX&lid=LSTACNFZ54YHMWABNNXOJOMOP&marketplace=FLIPKART&spotlightTagId=TrendingId_j9e%2Fabm%2Fc54&srno=b_1_4&otracker=browse&fm=organic&iid=9caa1db4-deba-4aec-84c7-43a3876d3293.ACNFZ54YHMWABNNX.SEARCH&ssid=tfe0pmzr280000001585503399736,58990,Samsung,1 Indoor Unit1 Outdoor UnitRemoteUser Manual,Split,AR18TV5HLTUNNA/AR18TV5HLTUXNA,1.5 Ton,5 Star BEE Rating,2020,White,Info Not Available,5000 W,8 Pole Digital Inverter,Yes,Yes,Info Not Available,Alloy,89 cm x 28.5 cm x 24.3 cm,11.2 kg,88 cm x 63.8 cm x 31 cm,36.7 kg,Info Not Available,Info Not Available,Info Not Available,4.64 W/W,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Yes,Yes,Info Not Available,Info Not Available,Info Not Available,Yes,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,AC 230 V,1390 W,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available
"Voltas 1.5 Ton 5 Star Split Inverter AC  - White  (185V JZJ (R32), Copper Condenser)",https://www.flipkart.com/voltas-1-5-ton-5-star-split-inverter-ac-white/p/itmfed8kcjyshnmf?pid=ACNFED8KYFRTV95R&lid=LSTACNFED8KYFRTV95RNJ900W&marketplace=FLIPKART&srno=b_1_5&otracker=browse&fm=organic&iid=9caa1db4-deba-4aec-84c7-43a3876d3293.ACNFED8KYFRTV95R.SEARCH&ssid=tfe0pmzr280000001585503399736,68990,Voltas,"1 Indoor Unit, 1 Outdoor Unit, User Manual, Remote",Split,185V JZJ (R32),1.5 Ton,5 Star BEE Rating,2019,White,Info Not Available,5200 W,High EER Twin Rotary,Yes,Yes,R32,Copper,99 cm x 31.5 cm x 24.2 cm,13 kg,87 cm x 60 cm x 35.5 cm,37.2 kg,Info Not Available,Info Not Available,Yes,Info Not Available,Anti Fungal,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Yes,Yes,Info Not Available,Info Not Available,"Catechin Filter, Silver Ion, Oxygenator",Yes,Yes,Info Not Available,Info Not Available,Yes,Info Not Available,Yes,Info Not Available,"AC 230 V, 50 Hz",1355 W,Yes,Info Not Available,900 CMH,"Swing, LCD Remote, Lock and Dual Temperature Display",Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available
"Whirlpool 1.5 Ton 3 Star Split Inverter AC  - White  (1.5T MAGICOOL PRO + 3S COPR INV, Copper Condenser)",https://www.flipkart.com/whirlpool-1-5-ton-3-star-split-inverter-ac-white/p/itma7e123d23281c?pid=ACNFE7HB9UYDABUZ&lid=LSTACNFE7HB9UYDABUZWZUBRA&marketplace=FLIPKART&srno=b_1_6&otracker=browse&fm=organic&iid=9caa1db4-deba-4aec-84c7-43a3876d3293.ACNFE7HB9UYDABUZ.SEARCH&ssid=tfe0pmzr280000001585503399736,53420,Whirlpool,"1 Indoor Unit, 1 Outdoor Unit, User Manual, Remote, Installation Pipe and Wire",Split,1.5T MAGICOOL PRO + 3S COPR INV,1.5 Ton,3 Star BEE Rating,2019,White,Info Not Available,5320 W,Rotary,Yes,Yes,R32,Copper,100 cm x 29.5 cm x 23 cm,11 kg,78 cm x 55.7 cm x 24.1 cm,30 kg,Info Not Available,Info Not Available,Yes,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,No,Yes,Info Not Available,Info Not Available,Info Not Available,Yes,Info Not Available,Info Not Available,Info Not Available,Yes,Info Not Available,Yes,Info Not Available,"AC 230 V, 50 Hz",1660 W,Yes,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Intellisense Inverter,Hidden,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available
"Whirlpool 1.5 Ton 5 Star Split Inverter AC  - White  (1.5T Magicool Pro 5S COPR INV, Copper Condenser)",https://www.flipkart.com/whirlpool-1-5-ton-5-star-split-inverter-ac-white/p/itmf8fb8a675505d?pid=ACNFE6K2BXFY6EKX&lid=LSTACNFE6K2BXFY6EKXYAWGJK&marketplace=FLIPKART&spotlightTagId=BestsellerId_j9e%2Fabm%2Fc54&srno=b_1_7&otracker=browse&fm=organic&iid=9caa1db4-deba-4aec-84c7-43a3876d3293.ACNFE6K2BXFY6EKX.SEARCH&ssid=tfe0pmzr280000001585503399736,64400,Whirlpool,"1 Indoor Unit, 1 Outdoor Unit, User Manual, Remote, Installation Pipe and Wire",Split,1.5T Magicool Pro 5S COPR INV,1.5 Ton,5 Star BEE Rating,2019,White,Info Not Available,5175 W,Rotary,Yes,Yes,R32,Copper,80 cm x 29.5 cm x 23 cm,9.3 kg,78 cm x 55.7 cm x 24.1 cm,31 kg,Info Not Available,Info Not Available,Yes,4.75 W/W,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,No,Yes,Info Not Available,Info Not Available,Info Not Available,Yes,Info Not Available,Info Not Available,Info Not Available,Yes,Info Not Available,Yes,Info Not Available,"AC 230 V, 50 Hz",1365 W,Yes,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Intellisense Inverter,Hidden,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available
"MarQ by Flipkart 1.5 Ton 5 Star Split Dual Inverter AC  - White  (FKAC155SIAEXT, Copper Condenser)",https://www.flipkart.com/marq-flipkart-1-5-ton-5-star-split-dual-inverter-ac-white/p/itm90c20527fbc89?pid=ACNFDVBBPGJDHSHH&lid=LSTACNFDVBBPGJDHSHHPGKP4T&marketplace=FLIPKART&srno=b_1_8&otracker=browse&fm=organic&iid=9caa1db4-deba-4aec-84c7-43a3876d3293.ACNFDVBBPGJDHSHH.SEARCH&ssid=tfe0pmzr280000001585503399736,56999,MarQ by Flipkart,"1 Indoor Unit, 1 Outdoor Unit, Remote Control, Installation Plates, Wiring and Screws Set, User Manual",Split,FKAC155SIAEXT,1.5 Ton,5 Star BEE Rating,2020,White,No,5200 W,Twin Rotary Compressor,Yes,Yes,Info Not Available,Copper,101 cm x 31.5 cm x 22 cm,13 kg,85.3 cm x 60.2 cm x 34.9 cm,31 Kg,Info Not Available,Yes,Yes,Info Not Available,Info Not Available,Hydrophilic Aluminum,Hydrophobic Aluminium,Yes,Yes,Yes,Yes,No,Info Not Available,Info Not Available,Yes,Info Not Available,Yes,Info Not Available,Yes,Yes,Yes,Info Not Available,"AC 230 V, 50 Hz",1385 W,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Yes,Upto 100 - 150 sq ft sq ft,"Golden Fin Evaporator, Sleek Design with Hidden Display, Cools at Even 60 DegreeC, Dual Inverter Technology, Turbo Cross Flow Fan, Grooved Copper Tubes, 165 - 265 V Surge Protection, Noise Free Operation",Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available
"Blue Star 1.2 Ton 3 Star Split Inverter AC  - White  (IC315AATU, Copper Condenser)",https://www.flipkart.com/blue-star-1-2-ton-3-split-inverter-ac-white/p/itmfffv2zxgjpkg5?pid=ACNFFFV2RPUS8V2H&lid=LSTACNFFFV2RPUS8V2HW2RQ3X&marketplace=FLIPKART&srno=b_1_9&otracker=browse&fm=organic&iid=9caa1db4-deba-4aec-84c7-43a3876d3293.ACNFFFV2RPUS8V2H.SEARCH&ssid=tfe0pmzr280000001585503399736,50000,Blue Star,"1 Indoor Unit, 1 Outdoor Unit, Installation Kit, Manual, Remote and Warranty Card",Split,IC315AATU,1.2 Ton,3 Star BEE Rating,2019,White,Info Not Available,4160 W,Rotary,Yes,Yes,Info Not Available,Copper,79 cm x 29.5 cm x 19 cm,9.7 kg,72 cm x 27 cm x 49.5 cm,22.1 kg,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,No,Yes,Info Not Available,Info Not Available,Info Not Available,Yes,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,"AC 230 V, 50 Hz",1440 W,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available
"Samsung 1.5 Ton 3 Star Split Triple Inverter Dura Series AC  - White  (AR18TV3HMWKNNA/AR18TV3HMWKXNA, Alloy Condenser)",https://www.flipkart.com/samsung-1-5-ton-3-star-split-triple-inverter-dura-series-ac-white/p/itm0cbd3ae6c6f70?pid=ACNFZ54YDNYGCMVY&lid=LSTACNFZ54YDNYGCMVYIZJFPH&marketplace=FLIPKART&srno=b_1_10&otracker=browse&fm=organic&iid=9caa1db4-deba-4aec-84c7-43a3876d3293.ACNFZ54YDNYGCMVY.SEARCH&ssid=tfe0pmzr280000001585503399736,53990,Samsung,1 Indoor Unit1 Outdoor UnitRemoteUser Manual,Split,AR18TV3HMWKNNA/AR18TV3HMWKXNA,1.5 Ton,3 Star BEE Rating,2020,White,Info Not Available,5000 W,8 Pole Digital Inverter,Yes,Yes,Info Not Available,Alloy,89 cm x 28.5 cm x 25.1 cm,10 kg,72 cm x 54.8 cm x 26.5 cm,28 kg,Info Not Available,Info Not Available,Info Not Available,3.61 W/W,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Yes,Yes,Info Not Available,Info Not Available,Info Not Available,Yes,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,AC 230 V,1740 W,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available,Info Not Available
