Name,URL,MRP,In The Box,Brand,Model Name,Type,Capacity in Tons,Star Rating,BEE Rating Year,Color,Cooling Capacity,Compressor,Dehumidification,Remote Control,Refrigerant,Condenser Coil,Indoor W x H x D,Indoor Unit Weight,Outdoor W x H x D,Outdoor Unit Weight,Panel Display,Turbo Mode,Auto Air Swing,Anti-bacteria Filter,Dust Filter,Active Carbon Filter,Deodorizing Filter,Auto Restart,Child Lock,Sleep Mode,Additional Features,Power Requirement,Power Consumption,,,,,,,,,,,,,,,,,
"Onida 1.5 Ton 3 Star Split Dual Inverter AC  - White  (IR183RHO, Copper Condenser)",https://www.flipkart.com/onida-1-5-ton-3-star-split-dual-inverter-ac-white/p/itm01d434f514748?pid=ACNFMDRP3TU6EFW2&lid=LSTACNFMDRP3TU6EFW2TAG21G&marketplace=FLIPKART&srno=b_1_1&otracker=browse&fm=organic&iid=9caa1db4-deba-4aec-84c7-43a3876d3293.ACNFMDRP3TU6EFW2.SEARCH&ssid=tfe0pmzr280000001585503399736,53490,"1 Indoor Unit, 1 Outdoor Unit, Remote, User Manual, Connecting Pipe, Wall Holder",Onida,IR183RHO,Split,1.5 Ton,3 Star BEE Rating,2020,White,5200 W,Dual Rotary,Yes,Yes,R32,Copper,91 cm x 29.4 cm x 20.6 cm,9 kg,81.7 cm x 55.3 cm x 32.8 cm,27 kg,LED,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,"4 Way Cooling, Golden Hydrophilic Fins","AC 220 - 240 V, 50 Hz",1820 W,,,,,,,,,,,,,,,,,
Name,URL,MRP,In The Box,Brand,Model Name,Type,Capacity in Tons,Star Rating,BEE Rating Year,Color,Cooling and Heating,Cooling Capacity,Compressor,Dehumidification,Remote Control,Refrigerant,Condenser Coil,Indoor W x H x D,Indoor Unit Weight,Outdoor W x H x D,Outdoor Unit Weight,Indoor Noise Level,Indoor Temperature Indicator,Turbo Mode,ISEER,Other Performance Features,Evaporator Fin Type,Condenser Fin Type,Stepped Louvers,Auto Air Swing,Anti-bacteria Filter,Dust Filter,Active Carbon Filter,Deodorizing Filter,Other Filter Features,Auto Restart,Timer,Child Lock,Quiet Mode,Sleep Mode,Memory Feature,Self Diagnosis,Emergency Operational Button,Power Requirement,Power Consumption,Night Glow Buttons on Remote,Battery Type,,,
"LG 1.5 Ton 5 Star Split Dual Inverter AC  - White  (KS-Q18ENZA, Copper Condenser)",https://www.flipkart.com/lg-1-5-ton-5-star-split-dual-inverter-ac-white/p/itmfffhdfkgkgjgs?pid=ACNFEBYG9M2GPJNC&lid=LSTACNFEBYG9M2GPJNCD2OLYH&marketplace=FLIPKART&srno=b_1_2&otracker=browse&fm=organic&iid=9caa1db4-deba-4aec-84c7-43a3876d3293.ACNFEBYG9M2GPJNC.SEARCH&ssid=tfe0pmzr280000001585503399736,53990,1 Indoor UnitRemote Control2 AAA BatteriesUser ManualSet Installation Plates and ScrewsWiring1 Outdoor Unit,LG,KS-Q18ENZA,Split,1.5 Ton,5 Star BEE Rating,2019,White,No,5100 W,Rotary,No,Yes,R32,Copper,99.8 cm x 33 cm x 21 cm,11 kg,87 cm x 65.5 cm x 32.2 cm,30 kg,"High - 30 dB, Low - 26 dB",Yes,No,4.73 W/W,Monsoon comfort ; Ez Clean Filter ; Stablizer Free Operation; Stablizer Free Operation (145~290V),Gold Fin,Gold Fin,Yes,Yes,Yes,Yes,No,No,3M Micro Protection Filter,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"AC 220 - 240 V, 50 Hz",1440 W,Yes,2 AAA Batteries,,,
Name,URL,MRP,In The Box,Brand,Model Name,Type,Capacity in Tons,Star Rating,BEE Rating Year,Color,Cooling and Heating,Cooling Capacity,Compressor,Dehumidification,Remote Control,Condenser Coil,Indoor W x H x D,Indoor Unit Weight,Outdoor W x H x D,Outdoor Unit Weight,Anti-bacteria Filter,Dust Filter,Auto Restart,Power Requirement,Power Consumption,,,,,,,,,,,,,,,,,,,,,,,,,
"Voltas 1.5 Ton 3 Star Split Inverter AC  - White  (183 VCZJ (R 32), Copper Condenser)",https://www.flipkart.com/voltas-1-5-ton-3-star-split-inverter-ac-white/p/itme691717dd8f76?pid=ACNFHHUXNFGV6KRG&lid=LSTACNFHHUXNFGV6KRGRZMCIB&marketplace=FLIPKART&srno=b_1_3&otracker=browse&fm=organic&iid=9caa1db4-deba-4aec-84c7-43a3876d3293.ACNFHHUXNFGV6KRG.SEARCH&ssid=tfe0pmzr280000001585503399736,59190,"1 Indoor Unit, 1 Outdoor Unit, Remote, Accessories",Voltas,183 VCZJ (R 32),Split,1.5 Ton,3 Star BEE Rating,2019,White,No,5100 W,High EER Rotary,Yes,Yes,Copper,920 mm x 390 mm x 124 mm,15 kg,635 mm x 654 mm x 524 mm,28 kg,Yes,Yes,No,AC 230 V,1590 W,,,,,,,,,,,,,,,,,,,,,,,,,
Name,URL,MRP,In The Box,Brand,Model Name,Type,Capacity in Tons,Star Rating,BEE Rating Year,Color,Cooling Capacity,Compressor,Dehumidification,Remote Control,Condenser Coil,Indoor W x H x D,Indoor Unit Weight,Outdoor W x H x D,Outdoor Unit Weight,ISEER,Anti-bacteria Filter,Dust Filter,Auto Restart,Power Requirement,Power Consumption,,,,,,,,,,,,,,,,,,,,,,,,,
"Samsung 1.5 Ton 5 Star Split Triple Inverter Dura Series AC  - White  (AR18TV5HLTUNNA/AR18TV5HLTUXNA, Alloy Condenser)",https://www.flipkart.com/samsung-1-5-ton-5-star-split-triple-inverter-dura-series-ac-white/p/itm9db0e219a0c74?pid=ACNFZ54YHMWABNNX&lid=LSTACNFZ54YHMWABNNXOJOMOP&marketplace=FLIPKART&spotlightTagId=TrendingId_j9e%2Fabm%2Fc54&srno=b_1_4&otracker=browse&fm=organic&iid=9caa1db4-deba-4aec-84c7-43a3876d3293.ACNFZ54YHMWABNNX.SEARCH&ssid=tfe0pmzr280000001585503399736,58990,1 Indoor Unit1 Outdoor UnitRemoteUser Manual,Samsung,AR18TV5HLTUNNA/AR18TV5HLTUXNA,Split,1.5 Ton,5 Star BEE Rating,2020,White,5000 W,8 Pole Digital Inverter,Yes,Yes,Alloy,89 cm x 28.5 cm x 24.3 cm,11.2 kg,88 cm x 63.8 cm x 31 cm,36.7 kg,4.64 W/W,Yes,Yes,Yes,AC 230 V,1390 W,,,,,,,,,,,,,,,,,,,,,,,,,
Name,URL,MRP,In The Box,Brand,Model Name,Type,Capacity in Tons,Star Rating,BEE Rating Year,Color,Cooling Capacity,Compressor,Dehumidification,Remote Control,Refrigerant,Condenser Coil,Indoor W x H x D,Indoor Unit Weight,Outdoor W x H x D,Outdoor Unit Weight,Turbo Mode,Other Performance Features,Air Circulation,Anti-bacteria Filter,Dust Filter,Other Filter Features,Auto Restart,Timer,Sleep Mode,Self Diagnosis,Power Requirement,Power Consumption,Night Glow Buttons on Remote,Other Remote Control Features,,,,,,,,,,,,,,,,
"Voltas 1.5 Ton 5 Star Split Inverter AC  - White  (185V JZJ (R32), Copper Condenser)",https://www.flipkart.com/voltas-1-5-ton-5-star-split-inverter-ac-white/p/itmfed8kcjyshnmf?pid=ACNFED8KYFRTV95R&lid=LSTACNFED8KYFRTV95RNJ900W&marketplace=FLIPKART&srno=b_1_5&otracker=browse&fm=organic&iid=9caa1db4-deba-4aec-84c7-43a3876d3293.ACNFED8KYFRTV95R.SEARCH&ssid=tfe0pmzr280000001585503399736,68990,"1 Indoor Unit, 1 Outdoor Unit, User Manual, Remote",Voltas,185V JZJ (R32),Split,1.5 Ton,5 Star BEE Rating,2019,White,5200 W,High EER Twin Rotary,Yes,Yes,R32,Copper,99 cm x 31.5 cm x 24.2 cm,13 kg,87 cm x 60 cm x 35.5 cm,37.2 kg,Yes,Anti Fungal,900 CMH,Yes,Yes,"Catechin Filter, Silver Ion, Oxygenator",Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",1355 W,Yes,"Swing, LCD Remote, Lock and Dual Temperature Display",,,,,,,,,,,,,,,,
Name,URL,MRP,In The Box,Brand,Model Name,Type,Capacity in Tons,Star Rating,BEE Rating Year,Color,Series,Cooling Capacity,Compressor,Dehumidification,Remote Control,Refrigerant,Technology Used,Condenser Coil,Indoor W x H x D,Indoor Unit Weight,Outdoor W x H x D,Outdoor Unit Weight,Panel Display,Turbo Mode,Anti-bacteria Filter,Dust Filter,Auto Restart,Sleep Mode,Self Diagnosis,Power Requirement,Power Consumption,Night Glow Buttons on Remote,,,,,,,,,,,,,,,,,,
"Whirlpool 1.5 Ton 3 Star Split Inverter AC  - White  (1.5T MAGICOOL PRO + 3S COPR INV, Copper Condenser)",https://www.flipkart.com/whirlpool-1-5-ton-3-star-split-inverter-ac-white/p/itma7e123d23281c?pid=ACNFE7HB9UYDABUZ&lid=LSTACNFE7HB9UYDABUZWZUBRA&marketplace=FLIPKART&srno=b_1_6&otracker=browse&fm=organic&iid=9caa1db4-deba-4aec-84c7-43a3876d3293.ACNFE7HB9UYDABUZ.SEARCH&ssid=tfe0pmzr280000001585503399736,53420,"1 Indoor Unit, 1 Outdoor Unit, User Manual, Remote, Installation Pipe and Wire",Whirlpool,1.5T MAGICOOL PRO + 3S COPR INV,Split,1.5 Ton,3 Star BEE Rating,2019,White,Magicool Pro Plus,5320 W,Rotary,Yes,Yes,R32,Intellisense Inverter,Copper,100 cm x 29.5 cm x 23 cm,11 kg,78 cm x 55.7 cm x 24.1 cm,30 kg,Hidden,Yes,No,Yes,Yes,Yes,Yes,"AC 230 V, 50 Hz",1660 W,Yes,,,,,,,,,,,,,,,,,,
Name,URL,MRP,In The Box,Brand,Model Name,Type,Capacity in Tons,Star Rating,BEE Rating Year,Color,Series,Cooling Capacity,Compressor,Dehumidification,Remote Control,Refrigerant,Technology Used,Condenser Coil,Indoor W x H x D,Indoor Unit Weight,Outdoor W x H x D,Outdoor Unit Weight,Panel Display,Turbo Mode,ISEER,Anti-bacteria Filter,Dust Filter,Auto Restart,Sleep Mode,Self Diagnosis,Power Requirement,Power Consumption,Night Glow Buttons on Remote,,,,,,,,,,,,,,,,,
